,Name,Replicate,Time_min,Calc_conc,Real_conc,Date,Volume_rxn,Volume_capsule,ID,Name_Rep,Real_conc_max,f_R
53,Alma1,a,0,8.204402146,82.04402146,20190913,,,Alma1_0_a,Alma1_a,82.04402146,1.0
52,Alma1,a,3,4.780345925,47.803459249999996,20190913,,,Alma1_3_a,Alma1_a,82.04402146,0.5826562179586267
51,Alma1,a,8,3.125295023,31.25295023,20190913,,,Alma1_8_a,Alma1_a,82.04402146,0.3809290387507049
50,Alma1,a,16,1.27826609,12.7826609,20190913,,,Alma1_16_a,Alma1_a,82.04402146,0.15580246643848508
49,Alma1,a,21,1.183788549,11.83788549,20190913,,,Alma1_21_a,Alma1_a,82.04402146,0.14428699714300913
48,Alma1,a,25,0.574091214,5.74091214,20190913,,,Alma1_25_a,Alma1_a,82.04402146,0.06997355855842516
59,Alma1,b,0,8.199709674,81.99709673999999,20190913,,,Alma1_0_b,Alma1_b,81.99709673999999,1.0
58,Alma1,b,3,5.218281413,52.18281413,20190913,,,Alma1_3_b,Alma1_b,81.99709673999999,0.6363983141435308
57,Alma1,b,8,3.203504275,32.035042749999995,20190913,,,Alma1_8_b,Alma1_b,81.99709673999999,0.39068508549245495
56,Alma1,b,16,1.275548071,12.75548071,20190913,,,Alma1_16_b,Alma1_b,81.99709673999999,0.15556015050686053
55,Alma1,b,21,0.869389566,8.693895659999999,20190913,,,Alma1_21_b,Alma1_b,81.99709673999999,0.10602687175092293
54,Alma1,b,25,0.303730726,3.03730726,20190913,,,Alma1_25_b,Alma1_b,81.99709673999999,0.037041643921013785
65,Alma1,c,0,8.218007398,82.18007397999999,20190920,,,Alma1_0_c,Alma1_c,82.18007397999999,1.0
64,Alma1,c,3,4.649983313,46.49983313,20190920,,,Alma1_3_c,Alma1_c,82.18007397999999,0.5658285625456674
63,Alma1,c,8,3.1554127530000002,31.554127530000002,20190920,,,Alma1_8_c,Alma1_c,82.18007397999999,0.3839632407447001
62,Alma1,c,16,1.28193698,12.8193698,20190920,,,Alma1_16_c,Alma1_c,82.18007397999999,0.15599121756838313
61,Alma1,c,21,1.239836401,12.39836401,20190920,,,Alma1_21_c,Alma1_c,82.18007397999999,0.15086825077594074
60,Alma1,c,25,0.450450542,4.50450542,20190920,,,Alma1_25_c,Alma1_c,82.18007397999999,0.05481262308301466
138,Control,a,0,21.9,219.0,20190718,,,Control_0_a,Control_a,224.0,0.9776785714285714
139,Control,a,30,22.4,224.0,20190718,,,Control_30_a,Control_a,224.0,1.0
140,Control,a,60,20.8,208.0,20190718,,,Control_60_a,Control_a,224.0,0.9285714285714286
141,Control,a,120,21.4,214.0,20190718,,,Control_120_a,Control_a,224.0,0.9553571428571429
142,Control,a,180,21.0,210.0,20190718,,,Control_180_a,Control_a,224.0,0.9375
143,Control,a,240,21.3,213.0,20190718,,,Control_240_a,Control_a,224.0,0.9508928571428571
7,DddD,a,0,9.64,96.4,20190831,,,DddD_0_a,DddD_a,96.4,1.0
6,DddD,a,3,7.002513836,70.02513836,20190831,944.7528457999998,75.32570336,DddD_3_a,DddD_a,96.4,0.7264018502074688
5,DddD,a,9,5.617723571,56.17723571,20190831,1060.836495,82.60642937,DddD_9_a,DddD_a,96.4,0.5827514077800829
4,DddD,a,20,2.729446732,27.29446732,20190831,1205.941057,99.14700117,DddD_20_a,DddD_a,96.4,0.28313762780082985
3,DddD,a,26,2.363466448,23.63466448,20190831,1392.504065,97.37432227,DddD_26_a,DddD_a,96.4,0.24517286804979252
2,DddD,a,37,1.7188220490000001,17.188220490000003,20190831,1641.254743,100.0,DddD_37_a,DddD_a,96.4,0.1783010424273859
1,DddD,a,45,1.5716697769999999,15.71669777,20190831,1989.5056920000002,96.96233958,DddD_45_a,DddD_a,96.4,0.16303628392116182
0,DddD,a,53,1.169453565,11.694535649999999,20190831,2511.882114,97.37765623,DddD_53_a,DddD_a,96.4,0.12131261047717841
8,DddD,b,0,9.53,95.3,20190831,,,DddD_0_b,DddD_b,95.3,1.0
26,DddD,b,4,6.875099552000001,68.75099552,20190831,944.7528457999998,81.62448933,DddD_4_b,DddD_b,95.3,0.7214165322140609
25,DddD,b,11,4.738580108,47.38580108,20190831,1060.836495,100.0,DddD_11_b,DddD_b,95.3,0.4972277133263379
24,DddD,b,18,2.8943204,28.943203999999998,20190831,1205.941057,100.0,DddD_18_b,DddD_b,95.3,0.3037062329485834
23,DddD,b,25,2.299723007,22.99723007,20190831,1392.504065,100.0,DddD_25_b,DddD_b,95.3,0.2413140615949633
22,DddD,b,35,1.5942684740000002,15.94268474,20190831,1641.254743,100.0,DddD_35_b,DddD_b,95.3,0.16728945162644282
21,DddD,b,43,1.2616970509999998,12.616970509999998,20190831,1989.5056920000002,100.0,DddD_43_b,DddD_b,95.3,0.13239213546694648
20,DddD,b,51,1.584190552,15.84190552,20190831,2511.882114,94.04664977,DddD_51_b,DddD_b,95.3,0.1662319571878279
9,DddD,c,0,10.01,100.1,20190831,,,DddD_0_c,DddD_c,100.1,1.0
33,DddD,c,4,7.2005213370000005,72.00521337,20190831,944.7528457999998,77.9,DddD_4_c,DddD_c,100.1,0.719332800899101
32,DddD,c,11,5.226924369,52.269243689999996,20190831,1060.836495,95.6,DddD_11_c,DddD_c,100.1,0.5221702666333666
31,DddD,c,18,3.233290883,32.33290883,20190831,1205.941057,96.0,DddD_18_c,DddD_c,100.1,0.32300608221778226
30,DddD,c,25,2.211428494,22.11428494,20190831,1392.504065,100.0,DddD_25_c,DddD_c,100.1,0.2209219274725275
29,DddD,c,35,1.700497299,17.00497299,20190831,1641.254743,100.0,DddD_35_c,DddD_c,100.1,0.16987985004995004
28,DddD,c,43,1.5602416769999998,15.602416769999998,20190831,1989.5056920000002,100.0,DddD_43_c,DddD_c,100.1,0.15586829940059937
27,DddD,c,51,1.3298217270000001,13.298217270000002,20190831,2511.882114,100.0,DddD_51_c,DddD_c,100.1,0.13284932337662342
132,DddK,a,0,,210.0,20191219,,,DddK_0_a,DddK_a,210.0,1.0
102,DddK,a,4,,201.1428571,20191001,480.0,19.38090952,DddK_4_a,DddK_a,210.0,0.957823129047619
103,DddK,a,11,,187.71428569999998,20191001,580.0,17.18678671,DddK_11_a,DddK_a,210.0,0.8938775509523809
104,DddK,a,20,,159.28571430000002,20191001,936.0,12.79160015,DddK_20_a,DddK_a,210.0,0.7585034014285715
105,DddK,a,27,,156.6571429,20191001,1080.0,10.85195283,DddK_27_a,DddK_a,210.0,0.7459863947619048
106,DddK,a,40,,128.22857140000002,20191001,480.0,30.40142669,DddK_40_a,DddK_a,210.0,0.6106122447619049
133,DddK,b,0,,212.0,20191219,,,DddK_0_b,DddK_b,212.0,1.0
107,DddK,b,4,,189.71428569999998,20191001,480.0,20.54843419,DddK_4_b,DddK_b,212.0,0.8948787061320753
108,DddK,b,11,,180.17142859999998,20191001,580.0,17.90630966,DddK_11_b,DddK_b,212.0,0.849865229245283
109,DddK,b,20,,155.4285714,20191001,936.0,12.86214206,DddK_20_b,DddK_b,212.0,0.7331536386792453
110,DddK,b,27,,149.0857143,20191001,1080.0,11.62144738,DddK_27_b,DddK_b,212.0,0.7032345014150944
111,DddK,b,40,,111.9428571,20191001,380.0,43.98858805,DddK_40_b,DddK_b,212.0,0.5280323448113208
134,DddK,c,0,,213.0,20191219,,,DddK_0_c,DddK_c,213.0,1.0
112,DddK,c,4,,185.6,20191001,480.0,21.00394135,DddK_4_c,DddK_c,213.0,0.8713615023474178
113,DddK,c,11,,179.2,20191001,580.0,18.003378299999998,DddK_11_c,DddK_c,213.0,0.8413145539906103
114,DddK,c,20,,163.2,20191001,936.0,12.24965911,DddK_20_c,DddK_c,213.0,0.7661971830985915
115,DddK,c,27,,154.4,20191001,1080.0,11.22144938,DddK_27_c,DddK_c,213.0,0.7248826291079813
116,DddK,c,40,,120.4,20191001,380.0,40.89873944,DddK_40_c,DddK_c,213.0,0.5652582159624413
96,DddP,a,0,,207.1939753,20191001,,,DddP_0_a,DddP_a,207.1939753,1.0
97,DddP,a,3,,178.4719486,20191001,330.0,33.65723749,DddP_3_a,DddP_a,207.1939753,0.8613761492899933
98,DddP,a,15,,106.20807909999999,20191001,350.0,34.89556981,DddP_15_a,DddP_a,207.1939753,0.5126021591420279
99,DddP,a,25,,96.98017582,20191001,430.0,31.76828947,DddP_25_a,DddP_a,207.1939753,0.46806465139529563
100,DddP,a,38,,87.50521081,20191001,520.0,32.86108335,DddP_38_a,DddP_a,207.1939753,0.4223347261101563
101,DddP,a,51,,79.21477778,20191001,680.0,46.47088995,DddP_51_a,DddP_a,207.1939753,0.38232182024261785
72,DddP,b,0,,202.639093,20190930,,,DddP_0_b,DddP_b,202.639093,1.0
73,DddP,b,3,,164.9625466,20190930,330.0,39.11562343,DddP_3_b,DddP_b,202.639093,0.8140706916804054
74,DddP,b,15,,108.17268440000001,20190930,350.0,49.42359755,DddP_15_b,DddP_b,202.639093,0.5338194264420637
75,DddP,b,25,,101.0728865,20190930,430.0,43.05433462,DddP_25_b,DddP_b,202.639093,0.4987827620211466
76,DddP,b,38,,89.13231717,20190930,520.0,40.37211164,DddP_38_b,DddP_b,202.639093,0.43985746210382015
77,DddP,b,51,,78.15990214,20190930,680.0,35.20684323,DddP_51_b,DddP_b,202.639093,0.385709889354864
78,DddP,c,0,,200.0756246,20190930,,,DddP_0_c,DddP_c,200.0756246,1.0
79,DddP,c,3,,160.47484550000001,20190930,330.0,39.11562343,DddP_3_c,DddP_c,200.0756246,0.8020709460276753
80,DddP,c,15,,98.0249934,20190930,350.0,49.42359755,DddP_15_c,DddP_c,200.0756246,0.48993970952721444
81,DddP,c,25,,94.43923685,20190930,430.0,43.05433462,DddP_25_c,DddP_c,200.0756246,0.4720177034998995
82,DddP,c,38,,84.73461889,20190930,520.0,40.37211164,DddP_38_c,DddP_c,200.0756246,0.42351295446112025
83,DddP,c,51,,71.79429852,20190930,680.0,35.20684323,DddP_51_c,DddP_c,200.0756246,0.35883580852757213
135,DddQ,a,0,,142.4571429,20191219,,,DddQ_0_a,DddQ_a,142.4571429,1.0
117,DddQ,a,4,,94.68571429,20191219,400.0,49.40552915,DddQ_4_a,DddQ_a,142.4571429,0.6646610507727655
118,DddQ,a,11,,88.22857143,20191219,500.0,42.41707865,DddQ_11_a,DddQ_a,142.4571429,0.619334135403329
119,DddQ,a,20,,75.37142857,20191219,530.0,46.84221139,DddQ_20_a,DddQ_a,142.4571429,0.5290814278291973
120,DddQ,a,27,,70.91428571,20191219,660.0,39.97995839,DddQ_27_a,DddQ_a,142.4571429,0.4977938225237283
121,DddQ,a,35,,74.85714286,20191219,1780.0,14.04322185,DddQ_35_a,DddQ_a,142.4571429,0.5254713195571185
136,DddQ,b,0,,133.4285714,20191219,,,DddQ_0_b,DddQ_b,133.4285714,1.0
122,DddQ,b,4,,98.05714286,20191219,400.0,47.70685419,DddQ_4_b,DddQ_b,133.4285714,0.7349036404357395
123,DddQ,b,11,,90.68571429,20191219,500.0,41.26778162,DddQ_11_b,DddQ_b,133.4285714,0.6796573877579566
124,DddQ,b,20,,74.51428571,20191219,530.0,47.38104051,DddQ_20_b,DddQ_b,133.4285714,0.5584582441988133
125,DddQ,b,27,,71.54285714,20191219,660.0,39.62869677,DddQ_27_b,DddQ_b,133.4285714,0.5361884369242372
126,DddQ,b,35,,71.77142857,20191219,1780.0,14.64699095,DddQ_35_b,DddQ_b,133.4285714,0.5379014990338118
137,DddQ,c,0,,137.4857143,20191219,,,DddQ_0_c,DddQ_c,137.4857143,1.0
127,DddQ,c,4,,94.97142857,20191219,400.0,49.25689639,DddQ_4_c,DddQ_c,137.4857143,0.6907730672495039
128,DddQ,c,11,,89.25714286,20191219,500.0,41.92827749,DddQ_11_c,DddQ_c,137.4857143,0.6492103075177462
129,DddQ,c,20,,73.14285714,20191219,530.0,48.26943502,DddQ_20_c,DddQ_c,137.4857143,0.5320033249447211
130,DddQ,c,27,,72.62857143,20191219,660.0,39.03629297,DddQ_27_c,DddQ_c,137.4857143,0.5282626765972295
131,DddQ,c,35,,71.71428571,20191219,1780.0,14.65866186,DddQ_35_c,DddQ_c,137.4857143,0.521612634993598
17,DddY,a,0,9.64,96.4,20190831,,,DddY_0_a,DddY_a,96.4,1.0
16,DddY,a,3,6.709084777999999,67.09084777999999,20190831,,,DddY_3_a,DddY_a,96.4,0.6959631512448131
15,DddY,a,9,5.424158509,54.24158509,20190831,,,DddY_9_a,DddY_a,96.4,0.5626720445020746
14,DddY,a,20,3.516537202,35.16537202,20190831,,,DddY_20_a,DddY_a,96.4,0.36478601680497924
13,DddY,a,26,3.002566694,30.02566694,20190831,,,DddY_26_a,DddY_a,96.4,0.31146957406639003
12,DddY,a,37,2.294226935,22.942269350000004,20190831,,,DddY_37_a,DddY_a,96.4,0.23799034595435686
11,DddY,a,45,1.7600935469999999,17.60093547,20190831,,,DddY_45_a,DddY_a,96.4,0.18258231815352696
10,DddY,a,53,1.384221903,13.84221903,20190831,,,DddY_53_a,DddY_a,96.4,0.14359148371369296
18,DddY,b,0,9.53,95.3,20190831,,,DddY_0_b,DddY_b,95.3,1.0
40,DddY,b,4,6.964774871,69.64774871,20190831,,,DddY_4_b,DddY_b,95.3,0.7308263243441764
39,DddY,b,11,5.028483261,50.284832609999995,20190831,,,DddY_11_b,DddY_b,95.3,0.5276477713536201
38,DddY,b,18,3.820521522,38.20521522,20190831,,,DddY_18_b,DddY_b,95.3,0.40089417859391396
37,DddY,b,25,3.358653798,33.58653798,20190831,,,DddY_25_b,DddY_b,95.3,0.35242956956977967
36,DddY,b,35,2.7265540180000003,27.265540180000002,20190831,,,DddY_35_b,DddY_b,95.3,0.2861022054564533
35,DddY,b,43,2.434665153,24.346651530000003,20190831,,,DddY_43_b,DddY_b,95.3,0.2554737831059811
34,DddY,b,51,2.001254415,20.01254415,20190831,,,DddY_51_b,DddY_b,95.3,0.2099952166841553
19,DddY,c,0,10.01,100.1,20190831,,,DddY_0_c,DddY_c,100.1,1.0
47,DddY,c,4,6.910186195,69.10186195,20190831,,,DddY_4_c,DddY_c,100.1,0.6903282912087912
46,DddY,c,11,5.4832167510000005,54.832167510000005,20190831,,,DddY_11_c,DddY_c,100.1,0.5477739011988013
45,DddY,c,18,4.09105144,40.910514400000004,20190831,,,DddY_18_c,DddY_c,100.1,0.4086964475524476
44,DddY,c,25,3.151339855,31.513398549999998,20190831,,,DddY_25_c,DddY_c,100.1,0.31481916633366636
43,DddY,c,35,2.7990832869999998,27.99083287,20190831,,,DddY_35_c,DddY_c,100.1,0.2796287
42,DddY,c,43,2.568149425,25.68149425,20190831,,,DddY_43_c,DddY_c,100.1,0.2565583841158841
41,DddY,c,51,2.257276919,22.572769190000002,20190831,,,DddY_51_c,DddY_c,100.1,0.22550218971028974
66,DmdA,a,0,,206.3445209,20190930,,,DmdA_0_a,DmdA_a,206.3445209,1.0
67,DmdA,a,3,,174.4335969,20190930,380.0,28.22970068,DmdA_3_a,DmdA_a,206.3445209,0.8453512414053151
68,DmdA,a,15,,156.5148112,20190930,530.0,22.55738203,DmdA_15_a,DmdA_a,206.3445209,0.7585120773613911
69,DmdA,a,25,,97.83631857,20190930,580.0,32.97553954,DmdA_25_a,DmdA_a,206.3445209,0.47414061756170434
70,DmdA,a,38,,85.0,20190930,600.0,36.69017896,DmdA_38_a,DmdA_a,206.3445209,0.4119324304287839
71,DmdA,a,51,,76.0,20190930,380.0,64.54163716,DmdA_51_a,DmdA_a,206.3445209,0.3683160554422068
84,DmdA,b,0,,209.61908640000001,20191001,,,DmdA_0_b,DmdA_b,209.61908640000001,1.0
85,DmdA,b,3,,164.9137264,20191001,360.0,24.79628855,DmdA_3_b,DmdA_b,209.61908640000001,0.7867304892518604
86,DmdA,b,15,,152.8090003,20191001,380.0,29.85929877,DmdA_15_b,DmdA_b,209.61908640000001,0.7289841918708029
87,DmdA,b,25,,102.2436743,20191001,360.0,34.01485084,DmdA_25_b,DmdA_b,209.61908640000001,0.48775937370939704
88,DmdA,b,38,,82.95182891,20191001,430.0,35.59796367,DmdA_38_b,DmdA_b,209.61908640000001,0.3957265072308797
89,DmdA,b,51,,73.0,20191001,580.0,21.09295073,DmdA_51_b,DmdA_b,209.61908640000001,0.34825073066438095
90,DmdA,c,0,,197.910786,20191001,,,DmdA_0_c,DmdA_c,197.910786,1.0
91,DmdA,c,3,,166.245308,20191001,360.0,24.79628855,DmdA_3_c,DmdA_c,197.910786,0.8400012518771968
92,DmdA,c,15,,159.3073177,20191001,380.0,29.85929877,DmdA_15_c,DmdA_c,197.910786,0.8049451013751217
93,DmdA,c,25,,96.72333055,20191001,360.0,34.01485084,DmdA_25_c,DmdA_c,197.910786,0.48872187567382
94,DmdA,c,38,,86.49548631,20191001,430.0,35.59796367,DmdA_38_c,DmdA_c,197.910786,0.4370428113503627
95,DmdA,c,51,,68.0,20191001,580.0,21.09295073,DmdA_51_c,DmdA_c,197.910786,0.34358915637877363
