Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
Sulfanilamide,4,,,1,35.579,33.948,1.631,1773,8515,0,Standard
Sulfanilamide,4,,,2,43.939,41.922,2.018,1075,5164,2.064,Standard
Sulfanilamide,4,,,3,35.158,33.546,1.612,1760,8453,0.011,Standard
SW,4,,,1,35.383,33.761,1.622,1770,8503,0,Standard
SW,4,,,2,33.513,31.952,1.561,820,4003,18.531,Standard
SW,4,,,3,35.472,33.846,1.626,1776,8534,0.079,Standard
DddP,,3,a,1,35.139,33.529,1.611,1757,8441,0,Sample
DddP,,3,a,2,43.982,41.951,2.031,1000,4830,10.342,Sample
DddP,,3,a,3,35.04,33.433,1.606,1751,8412,0.068,Sample
DddP,,3,b,1,35.064,33.457,1.606,1751,8408,0,Sample
DddP,,3,b,2,57.127,54.49,2.637,1253,6052,9.735,Sample
DddP,,3,b,3,35.249,33.634,1.615,1754,8420,0.056,Sample
DddP,,3,c,1,35.397,33.776,1.622,1764,8468,0,Sample
DddP,,3,c,2,68.432,65.272,3.16,1448,6998,10.388,Sample
DddP,,3,c,3,35.305,33.687,1.617,1758,8444,0.127,Sample
DddP,,15,a,1,35.256,33.64,1.615,1760,8448,0,Sample
DddP,,15,a,2,54.798,52.267,2.531,1303,6300,9.594,Sample
DddP,,15,a,3,35.526,33.899,1.628,1768,8491,0.141,Sample
DddP,,15,b,1,35.306,33.689,1.618,1763,8466,0,Sample
DddP,,15,b,2,76.759,73.213,3.546,1758,8501,9.464,Sample
DddP,,15,b,3,35.376,33.755,1.621,1763,8463,0.053,Sample
DddP,,15,c,1,35.287,33.67,1.617,1760,8452,0,Sample
DddP,,15,c,2,95.685,91.263,4.422,2145,10375,9.965,Sample
DddP,,15,c,3,35.793,34.153,1.64,1783,8563,0.062,Sample
DddP,,25,a,1,35.826,34.185,1.641,1784,8568,0,Sample
DddP,,25,a,2,63.937,60.983,2.954,1507,7290,9.772,Sample
DddP,,25,a,3,35.766,34.127,1.639,1784,8564,0.079,Sample
DddP,,25,b,1,35.809,34.168,1.641,1785,8570,0,Sample
DddP,,25,b,2,64.965,61.964,3.001,1551,7503,9.611,Sample
DddP,,25,b,3,35.872,34.228,1.644,1790,8593,0.09,Sample
DddP,,25,c,1,35.737,34.099,1.638,1784,8569,0,Sample
DddP,,25,c,2,102.599,97.854,4.745,2425,11736,10.12,Sample
DddP,,25,c,3,35.55,33.92,1.63,1773,8519,0.018,Sample
Sulfanilamide,2,,,1,35.789,34.149,1.64,1783,8561,0,Standard
Sulfanilamide,2,,,2,21.031,20.065,0.967,525,2526,3.542,Standard
Sulfanilamide,2,,,3,35.582,33.952,1.63,1782,8558,0.081,Standard
SW,2,,,1,35.802,34.161,1.641,1783,8570,0,Standard
SW,2,,,2,20.776,19.808,0.968,514,2510,18.739,Standard
SW,2,,,3,35.468,33.842,1.626,1773,8518,0.068,Standard
Sulfanilamide,4,,,1,35.614,33.981,1.633,1776,8533,0,Standard
Sulfanilamide,4,,,2,43.698,41.69,2.008,1068,5138,2.524,Standard
Sulfanilamide,4,,,3,35.503,33.875,1.628,1777,8539,0.05,Standard
SW,4,,,1,35.589,33.958,1.631,1774,8518,0,Standard
SW,4,,,2,43.915,41.868,2.047,1046,5107,19.584,Standard
SW,4,,,3,35.633,34,1.633,1779,8541,0.093,Standard
Sulfanilamide,6,,,1,35.946,34.299,1.647,1793,8612,0,Standard
Sulfanilamide,6,,,2,66.44,63.39,3.05,1620,7786,2.134,Standard
Sulfanilamide,6,,,3,35.739,34.101,1.638,1787,8579,0.008,Standard
SW,6,,,1,35.65,34.016,1.634,1778,8539,0,Standard
SW,6,,,2,65.551,62.495,3.056,1595,7788,19.857,Standard
SW,6,,,3,35.587,33.956,1.631,1776,8527,0.098,Standard
DddP,,38,a,1,35.716,34.079,1.637,1781,8556,0,Sample
DddP,,38,a,2,50.373,48.044,2.329,1204,5826,9.776,Sample
DddP,,38,a,3,35.69,34.054,1.636,1781,8559,0.064,Sample
DddP,,38,b,1,35.729,34.091,1.638,1783,8566,0,Sample
DddP,,38,b,2,80.039,76.339,3.7,1849,8946,9.427,Sample
DddP,,38,b,3,35.885,34.239,1.645,1789,8594,-0.046,Sample
DddP,,38,c,1,35.767,34.128,1.639,1785,8573,0,Sample
DddP,,38,c,2,72.444,69.095,3.349,1731,8377,9.861,Sample
DddP,,38,c,3,35.674,34.039,1.635,1777,8535,0.064,Sample
DddP,,51,a,1,35.623,33.991,1.632,1775,8525,0,Sample
DddP,,51,a,2,73.754,70.122,3.632,1785,8564,9.565,Sample
DddP,,51,a,3,35.058,33.452,1.607,1758,8443,0.118,Sample
DddP,,51,b,1,35.498,33.872,1.627,1773,8514,0,Sample
DddP,,51,b,2,76.98,73.424,3.557,1793,8674,9.488,Sample
DddP,,51,b,3,35.699,34.063,1.636,1781,8550,0.015,Sample
DddP,,51,c,1,35.709,34.072,1.636,1780,8550,0,Sample
DddP,,51,c,2,118.932,113.436,5.496,2644,12788,9.738,Sample
DddP,,51,c,3,35.818,34.177,1.641,1781,8553,-0.03,Sample
DmdA,,3,a,1,35.552,33.922,1.63,1773,8518,0,Sample
DmdA,,3,a,2,36.916,35.204,1.712,870,4222,12.076,Sample
DmdA,,3,a,3,35.422,33.798,1.624,1767,8491,0.114,Sample
DmdA,,3,b,1,35.576,33.946,1.63,1772,8512,0,Sample
DmdA,,3,b,2,44.848,42.773,2.075,1028,4978,11.93,Sample
DmdA,,3,b,3,35.683,34.048,1.635,1782,8556,0.072,Sample
DmdA,,3,c,1,35.546,33.917,1.629,1772,8511,0,Sample
DmdA,,3,c,2,42.253,40.298,1.955,943,4568,12.046,Sample
DmdA,,3,c,3,35.619,33.987,1.632,1777,8530,-0.213,Sample
DmdA,,15,a,1,35.538,33.91,1.628,1773,8514,0,Sample
DmdA,,15,a,2,40.22,38.358,1.862,1015,4919,12.101,Sample
DmdA,,15,a,3,35.616,33.984,1.632,1778,8539,0.051,Sample
DmdA,,15,b,1,35.612,33.979,1.633,1776,8535,0,Sample
DmdA,,15,b,2,66.345,63.272,3.073,1597,7741,11.686,Sample
DmdA,,15,b,3,35.742,34.104,1.638,1778,8541,-0.064,Sample
DmdA,,15,c,1,35.78,34.141,1.639,1786,8573,0,Sample
DmdA,,15,c,2,61.825,58.963,2.862,1453,7042,11.944,Sample
DmdA,,15,c,3,35.874,34.231,1.644,1785,8570,0.028,Sample
Sulfanilamide,4,,,1,35.758,34.12,1.638,1781,8549,0,Standard
Sulfanilamide,4,,,2,44.449,42.408,2.041,1077,5177,2.594,Standard
Sulfanilamide,4,,,3,35.531,33.903,1.628,1779,8542,0.202,Standard
SW,4,,,1,35.691,34.055,1.636,1776,8533,0,Standard
SW,4,,,2,44.516,42.441,2.076,1063,5193,19.581,Standard
SW,4,,,3,35.61,33.977,1.633,1781,8556,0.034,Standard
Sulfanilamide,6,,,1,35.744,34.106,1.638,1781,8551,0,Standard
Sulfanilamide,6,,,2,68.531,65.386,3.145,1684,8089,1.842,Standard
Sulfanilamide,6,,,3,35.661,34.028,1.634,1780,8544,-0.352,Standard
SW,6,,,1,35.666,34.032,1.634,1777,8528,0,Standard
SW,6,,,2,67.483,64.339,3.145,1629,7950,19.641,Standard
SW,6,,,3,35.679,34.044,1.634,1781,8553,-0.063,Standard
DmdA,,25,a,1,35.826,34.184,1.642,1781,8555,0,Sample
DmdA,,25,a,2,63.248,60.319,2.929,1529,7414,11.833,Sample
DmdA,,25,a,3,35.688,34.053,1.635,1782,8559,-0.246,Sample
DmdA,,25,b,1,35.716,34.08,1.636,1782,8555,0,Sample
DmdA,,25,b,2,73.911,70.49,3.421,1806,8750,11.992,Sample
DmdA,,25,b,3,35.869,34.226,1.643,1785,8569,0.484,Sample
DmdA,,25,c,1,35.917,34.272,1.645,1791,8597,0,Sample
DmdA,,25,c,2,69.702,66.475,3.227,1678,8134,12.026,Sample
DmdA,,25,c,3,35.892,34.248,1.645,1793,8609,0.241,Sample
DmdA,,38,a,1,35.91,34.265,1.645,1787,8581,0,Sample
DmdA,,38,a,2,61.624,58.772,2.852,1501,7271,11.712,Sample
DmdA,,38,a,3,35.744,34.106,1.638,1779,8544,0.135,Sample
DmdA,,38,b,1,35.762,34.123,1.638,1781,8549,0,Sample
DmdA,,38,b,2,54.17,51.662,2.507,1326,6426,11.886,Sample
DmdA,,38,b,3,35.735,34.098,1.637,1781,8549,0.098,Sample
DmdA,,38,c,1,35.802,34.162,1.64,1783,8559,0,Sample
DmdA,,38,c,2,90.443,86.258,4.185,2195,10629,11.748,Sample
DmdA,,38,c,3,35.738,34.101,1.637,1778,8533,0.049,Sample
DmdA,,51,a,1,35.592,33.962,1.63,1774,8515,0,Sample
DmdA,,51,a,2,42.211,40.257,1.954,1029,4989,12.161,Sample
DmdA,,51,a,3,35.467,33.842,1.625,1770,8499,0.158,Sample
DmdA,,51,b,1,35.507,33.88,1.626,1767,8482,0,Sample
DmdA,,51,b,2,42.912,40.925,1.987,1026,4971,11.854,Sample
DmdA,,51,b,3,35.64,34.008,1.633,1779,8541,-0.032,Sample
DmdA,,51,c,1,35.752,34.114,1.638,1784,8565,0,Sample
DmdA,,51,c,2,53.118,50.66,2.458,1287,6235,11.992,Sample
DmdA,,51,c,3,35.545,33.917,1.629,1773,8510,-0.045,Sample
Sulfanilamide,4,,,1,35.905,34.261,1.645,1789,8589,0,Standard
Sulfanilamide,4,,,2,43.821,41.81,2.012,1065,5116,2.463,Standard
Sulfanilamide,4,,,3,35.941,34.295,1.646,1795,8619,0.109,Standard
SW,4,,,1,36.13,34.474,1.656,1798,8636,0,Standard
SW,4,,,2,43.889,41.844,2.045,1093,5332,19.42,Standard
SW,4,,,3,36.317,34.653,1.664,1812,8699,-0.377,Standard
Sulfanilamide,6,,,1,36.518,34.845,1.673,1821,8742,0,Standard
Sulfanilamide,6,,,2,68.767,65.611,3.156,1645,7902,1.737,Standard
Sulfanilamide,6,,,3,36.94,35.248,1.692,1840,8831,-0.278,Standard