time_min,dmsp_um,date,enzyme_ul_ml_rxn
0,9.945828121,20190902,1.2
36,1.916473905,20190902,1.2
29,1.463422832,20190902,1.2
22,1.91525384,20190902,1.2
15,2.479127549,20190902,1.2
7,3.62924284,20190902,1.2
3,5.790284258,20190902,1.2
0,10.01,20190831,3
32,0,20190831,3
22,0,20190831,3
15,0,20190831,3
5,0.64,20190831,3
3,3.8,20190831,3
0,9.64,20190902,0.6
35,5.308393952,20190902,0.6
28,5.18327929,20190902,0.6
21,5.235410399,20190902,0.6
13,4.693246864,20190902,0.6
7,5.245836621,20190902,0.6
3,5.92354104,20190902,0.6
0,10.02669687,20190912,1
33,2.87614261,20190912,1
27,2.823135308,20190912,1
23,2.992758677,20190912,1
18,2.801932386,20190912,1
13,3.013961598,20190912,1
8,3.819672602,20190912,1
3,5.272072701,20190912,1
0,9.712221892,20190913,1.5
3,5.180259275,20190913,1.5
8,3.274889634,20190913,1.5
16,1.279879285,20190913,1.5
21,0.895908359,20190913,1.5
25,0.1069514,20190913,1.5
32,0,20190913,1.5