Station,Depth,Filter,MGT,Transcripts,Gene
51,DCM,0.8 to 5,67,0,dsyb
51,DCM,0.8 to 5,58,8.60E-08,dsyb
51,DCM,0.8 to 5,178,0,dsyb
51,DCM,0.8 to 5,44,8.38E-07,dsyb
51,DCM,0.8 to 5,13,0,dsyb
51,DCM,0.8 to 5,66,1.83E-06,dsyb
51,DCM,0.8 to 5,179,2.01E-07,dsyb
51,DCM,0.8 to 5,332,1.18E-07,dsyb
135,DCM,0.8 to 5,188,3.50E-06,dsyb
135,DCM,0.8 to 5,166,2.30E-06,dsyb
135,DCM,0.8 to 5,36,1.03E-07,dsyb
135,DCM,0.8 to 5,58,1.56E-07,dsyb
135,DCM,0.8 to 5,44,1.11E-06,dsyb
135,DCM,0.8 to 5,24,1.02E-06,dsyb
135,DCM,0.8 to 5,66,4.82E-07,dsyb
135,DCM,0.8 to 5,332,1.36E-07,dsyb
135,DCM,0.8 to 5,179,3.61E-06,dsyb
70,SRF,20 to 180,46,0,dsyb
70,SRF,20 to 180,58,3.37E-08,dsyb
70,SRF,20 to 180,2493,0,dsyb
70,SRF,20 to 180,44,3.13E-08,dsyb
70,SRF,20 to 180,12,0,dsyb
52,SRF,180 to 2000,2493,0,dsyb
52,SRF,180 to 2000,44,2.10E-08,dsyb
52,SRF,180 to 2000,13,0,dsyb
52,SRF,180 to 2000,4,2.68E-08,dsyb
52,SRF,180 to 2000,38,2.07E-08,dsyb
52,SRF,180 to 2000,112,0,dsyb
102,SRF,180 to 2000,332,3.70E-08,dsyb
102,SRF,180 to 2000,44,3.25E-07,dsyb
100,DCM,180 to 2000,2493,0,dsyb
100,DCM,180 to 2000,44,1.30E-07,dsyb
100,DCM,180 to 2000,332,2.60E-08,dsyb
100,DCM,20 to 180,332,1.18E-07,dsyb
100,DCM,20 to 180,44,1.18E-06,dsyb
100,DCM,20 to 180,12,0,dsyb
146,SRF,5 to 20,1255,8.72E-08,dsyb
146,SRF,5 to 20,1580,0,dsyb
146,SRF,5 to 20,2493,0,dsyb
72,SRF,20 to 180,46,0,dsyb
123,SRF,0.8 to 5,13,0,dsyb
123,SRF,0.8 to 5,44,5.23E-06,dsyb
123,SRF,0.8 to 5,2743,5.23E-08,dsyb
123,SRF,0.8 to 5,76,1.50E-06,dsyb
123,SRF,0.8 to 5,66,5.03E-07,dsyb
123,SRF,0.8 to 5,36,9.72E-08,dsyb
123,SRF,0.8 to 5,225,2.92E-08,dsyb
123,SRF,0.8 to 5,58,1.72E-07,dsyb
23,SRF,20 to 180,12,0,dsyb
23,SRF,20 to 180,13,0,dsyb
23,SRF,20 to 180,35,0,dsyb
23,SRF,20 to 180,38,3.44E-08,dsyb
128,DCM,20 to 180,46,0,dsyb
128,DCM,20 to 180,332,4.80E-08,dsyb
128,DCM,20 to 180,179,8.15E-08,dsyb
128,DCM,20 to 180,44,6.03E-07,dsyb
128,DCM,20 to 180,166,7.69E-08,dsyb
102,DCM,20 to 180,332,7.25E-08,dsyb
102,DCM,20 to 180,44,1.04E-06,dsyb
76,DCM,5 to 20,44,5.71E-08,dsyb
102,DCM,180 to 2000,44,5.82E-07,dsyb
102,DCM,180 to 2000,332,5.69E-08,dsyb
102,DCM,180 to 2000,58,0,dsyb
41,DCM,20 to 180,188,4.91E-08,dsyb
41,DCM,20 to 180,166,7.66E-08,dsyb
41,DCM,20 to 180,46,0,dsyb
82,SRF,180 to 2000,74,0,dsyb
82,SRF,180 to 2000,85,0,dsyb
82,SRF,180 to 2000,13,2.09E-06,dsyb
82,SRF,180 to 2000,67,7.34E-08,dsyb
82,SRF,180 to 2000,30,8.54E-08,dsyb
82,SRF,180 to 2000,4,2.77E-07,dsyb
82,SRF,180 to 2000,112,0,dsyb
46,SRF,180 to 2000,166,7.31E-08,dsyb
125,SRF,0.8 to 5,36,2.76E-08,dsyb
125,SRF,0.8 to 5,44,1.08E-05,dsyb
125,SRF,0.8 to 5,2743,7.81E-08,dsyb
125,SRF,0.8 to 5,58,6.02E-08,dsyb
125,SRF,0.8 to 5,66,2.91E-07,dsyb
137,SRF,0.8 to 5,58,6.64E-08,dsyb
137,SRF,0.8 to 5,4,1.01E-07,dsyb
137,SRF,0.8 to 5,225,4.16E-08,dsyb
137,SRF,0.8 to 5,36,8.11E-08,dsyb
137,SRF,0.8 to 5,166,5.16E-08,dsyb
137,SRF,0.8 to 5,66,3.52E-07,dsyb
137,SRF,0.8 to 5,332,3.48E-08,dsyb
137,SRF,0.8 to 5,2743,2.68E-08,dsyb
137,SRF,0.8 to 5,179,2.27E-08,dsyb
137,SRF,0.8 to 5,44,4.31E-06,dsyb
122,SRF,0.8 to 5,44,1.53E-06,dsyb
122,SRF,0.8 to 5,58,1.16E-07,dsyb
122,SRF,0.8 to 5,66,3.08E-08,dsyb
122,SRF,0.8 to 5,332,4.03E-08,dsyb
124,SRF,5 to 20,332,1.86E-07,dsyb
124,SRF,5 to 20,44,1.49E-06,dsyb
139,SRF,180 to 2000,44,2.77E-07,dsyb
41,DCM,5 to 20,178,0,dsyb
41,DCM,5 to 20,44,3.08E-07,dsyb
41,DCM,5 to 20,166,1.49E-06,dsyb
41,DCM,5 to 20,66,2.83E-07,dsyb
41,DCM,5 to 20,179,5.49E-07,dsyb
36,DCM,0.8 to 5,58,2.54E-08,dsyb
36,DCM,0.8 to 5,188,3.67E-08,dsyb
36,DCM,0.8 to 5,166,2.88E-06,dsyb
36,DCM,0.8 to 5,36,0,dsyb
36,DCM,0.8 to 5,179,1.02E-06,dsyb
36,DCM,0.8 to 5,66,3.33E-07,dsyb
36,DCM,0.8 to 5,76,2.60E-08,dsyb
36,DCM,0.8 to 5,44,2.25E-07,dsyb
36,DCM,0.8 to 5,178,0,dsyb
81,DCM,180 to 2000,112,0,dsyb
81,DCM,180 to 2000,4,2.42E-08,dsyb
81,DCM,180 to 2000,67,0,dsyb
81,DCM,180 to 2000,58,2.85E-08,dsyb
81,DCM,180 to 2000,13,1.66E-07,dsyb
146,SRF,20 to 180,2493,0,dsyb
146,SRF,20 to 180,12,0,dsyb
146,SRF,20 to 180,38,3.73E-08,dsyb
41,SRF,20 to 180,46,0,dsyb
124,SRF,20 to 180,44,1.21E-06,dsyb
124,SRF,20 to 180,332,9.22E-08,dsyb
152,SRF,5 to 20,1255,2.44E-07,dsyb
131,DCM,5 to 20,12,0,dsyb
85,SRF,0.8 to 5,112,0,dsyb
85,SRF,0.8 to 5,67,5.76E-06,dsyb
85,SRF,0.8 to 5,58,0,dsyb
85,SRF,0.8 to 5,4,2.23E-05,dsyb
85,SRF,0.8 to 5,85,0,dsyb
85,SRF,0.8 to 5,74,1.74E-06,dsyb
85,SRF,0.8 to 5,30,1.70E-07,dsyb
85,SRF,0.8 to 5,13,1.12E-05,dsyb
110,SRF,20 to 180,44,2.36E-07,dsyb
110,SRF,20 to 180,46,0,dsyb
110,SRF,20 to 180,58,0,dsyb
142,DCM,5 to 20,44,2.67E-08,dsyb
65,SRF,5 to 20,46,0,dsyb
65,SRF,5 to 20,178,0,dsyb
68,SRF,0.8 to 5,2743,3.07E-08,dsyb
68,SRF,0.8 to 5,66,6.76E-07,dsyb
68,SRF,0.8 to 5,24,2.21E-07,dsyb
68,SRF,0.8 to 5,13,2.95E-08,dsyb
68,SRF,0.8 to 5,178,0,dsyb
68,SRF,0.8 to 5,44,1.14E-07,dsyb
68,SRF,0.8 to 5,747,2.57E-08,dsyb
68,SRF,0.8 to 5,58,7.43E-08,dsyb
68,SRF,0.8 to 5,36,2.70E-07,dsyb
68,SRF,0.8 to 5,166,4.43E-08,dsyb
68,SRF,0.8 to 5,225,8.80E-08,dsyb
137,DCM,20 to 180,44,2.14E-07,dsyb
137,DCM,20 to 180,13,2.33E-08,dsyb
137,DCM,20 to 180,58,0,dsyb
137,DCM,20 to 180,35,0,dsyb
137,DCM,20 to 180,46,0,dsyb
137,DCM,20 to 180,332,2.46E-08,dsyb
152,SRF,0.8 to 5,36,2.37E-07,dsyb
152,SRF,0.8 to 5,166,1.49E-07,dsyb
152,SRF,0.8 to 5,29,8.46E-08,dsyb
152,SRF,0.8 to 5,225,9.13E-08,dsyb
152,SRF,0.8 to 5,58,1.75E-07,dsyb
152,SRF,0.8 to 5,44,1.81E-07,dsyb
152,SRF,0.8 to 5,59,4.20E-08,dsyb
152,SRF,0.8 to 5,2743,9.43E-08,dsyb
152,SRF,0.8 to 5,179,4.49E-08,dsyb
152,SRF,0.8 to 5,66,3.64E-07,dsyb
76,SRF,180 to 2000,38,2.31E-08,dsyb
76,SRF,180 to 2000,179,3.86E-08,dsyb
76,SRF,180 to 2000,2493,0,dsyb
76,SRF,180 to 2000,166,1.65E-07,dsyb
146,SRF,0.8 to 5,66,2.33E-06,dsyb
146,SRF,0.8 to 5,44,3.24E-08,dsyb
146,SRF,0.8 to 5,178,0,dsyb
146,SRF,0.8 to 5,12,0,dsyb
146,SRF,0.8 to 5,58,2.09E-07,dsyb
146,SRF,0.8 to 5,4,0,dsyb
146,SRF,0.8 to 5,112,0,dsyb
146,SRF,0.8 to 5,225,1.74E-07,dsyb
146,SRF,0.8 to 5,166,3.68E-08,dsyb
146,SRF,0.8 to 5,36,2.61E-07,dsyb
144,SRF,180 to 2000,2493,0,dsyb
144,SRF,180 to 2000,38,9.32E-08,dsyb
144,SRF,180 to 2000,46,0,dsyb
52,DCM,180 to 2000,38,4.42E-08,dsyb
52,DCM,180 to 2000,2493,0,dsyb
52,DCM,180 to 2000,44,2.05E-07,dsyb
132,SRF,5 to 20,46,0,dsyb
72,SRF,5 to 20,13,6.04E-08,dsyb
72,SRF,5 to 20,38,5.52E-08,dsyb
72,SRF,5 to 20,4,3.33E-08,dsyb
72,SRF,5 to 20,1580,0,dsyb
72,SRF,5 to 20,67,0,dsyb
100,SRF,5 to 20,2743,4.42E-08,dsyb
100,SRF,5 to 20,58,1.13E-07,dsyb
100,SRF,5 to 20,12,0,dsyb
100,SRF,5 to 20,44,9.74E-07,dsyb
36,DCM,20 to 180,188,2.57E-08,dsyb
36,DCM,20 to 180,166,2.04E-07,dsyb
36,DCM,20 to 180,58,3.52E-08,dsyb
36,DCM,20 to 180,46,0,dsyb
36,DCM,20 to 180,179,7.83E-08,dsyb
76,DCM,180 to 2000,38,3.87E-08,dsyb
138,DCM,5 to 20,44,1.85E-07,dsyb
138,DCM,5 to 20,166,2.60E-08,dsyb
138,DCM,5 to 20,12,0,dsyb
138,DCM,5 to 20,35,0,dsyb
138,DCM,5 to 20,46,0,dsyb
138,DCM,5 to 20,332,2.67E-08,dsyb
22,DCM,20 to 180,12,0,dsyb
22,DCM,20 to 180,35,0,dsyb
38,SRF,0.8 to 5,179,3.55E-06,dsyb
38,SRF,0.8 to 5,66,6.48E-07,dsyb
38,SRF,0.8 to 5,36,0,dsyb
38,SRF,0.8 to 5,166,8.30E-06,dsyb
38,SRF,0.8 to 5,188,4.45E-08,dsyb
38,SRF,0.8 to 5,44,4.52E-07,dsyb
132,SRF,180 to 2000,38,6.59E-08,dsyb
23,SRF,0.8 to 5,36,8.57E-08,dsyb
23,SRF,0.8 to 5,2743,3.09E-08,dsyb
23,SRF,0.8 to 5,66,8.58E-08,dsyb
67,SRF,180 to 2000,44,1.14E-07,dsyb
132,DCM,5 to 20,12,0,dsyb
128,SRF,180 to 2000,44,1.22E-06,dsyb
128,SRF,180 to 2000,166,1.41E-07,dsyb
128,SRF,180 to 2000,332,1.15E-07,dsyb
83,SRF,5 to 20,112,0,dsyb
83,SRF,5 to 20,67,0,dsyb
83,SRF,5 to 20,4,4.81E-08,dsyb
83,SRF,5 to 20,13,1.67E-07,dsyb
39,SRF,180 to 2000,166,3.68E-08,dsyb
68,DCM,0.8 to 5,58,5.67E-08,dsyb
68,DCM,0.8 to 5,166,1.78E-07,dsyb
68,DCM,0.8 to 5,36,4.69E-08,dsyb
68,DCM,0.8 to 5,188,2.84E-08,dsyb
68,DCM,0.8 to 5,66,1.07E-07,dsyb
68,DCM,0.8 to 5,179,6.24E-08,dsyb
68,DCM,0.8 to 5,332,2.40E-07,dsyb
68,DCM,0.8 to 5,2743,2.39E-08,dsyb
68,DCM,0.8 to 5,178,0,dsyb
68,DCM,0.8 to 5,59,2.36E-08,dsyb
68,DCM,0.8 to 5,44,6.27E-07,dsyb
68,DCM,0.8 to 5,24,9.79E-08,dsyb
68,DCM,0.8 to 5,12,0,dsyb
144,SRF,20 to 180,12,0,dsyb
144,SRF,20 to 180,178,0,dsyb
144,SRF,20 to 180,44,7.57E-08,dsyb
132,DCM,180 to 2000,38,5.03E-08,dsyb
36,DCM,5 to 20,166,4.21E-07,dsyb
36,DCM,5 to 20,179,1.94E-07,dsyb
36,DCM,5 to 20,46,0,dsyb
111,DCM,5 to 20,178,0,dsyb
111,DCM,5 to 20,44,6.41E-07,dsyb
111,DCM,5 to 20,24,1.10E-06,dsyb
111,DCM,5 to 20,66,2.67E-07,dsyb
111,DCM,5 to 20,1580,0,dsyb
111,DCM,5 to 20,179,4.05E-07,dsyb
111,DCM,5 to 20,166,5.14E-07,dsyb
111,DCM,5 to 20,36,2.95E-07,dsyb
111,DCM,5 to 20,188,2.25E-07,dsyb
111,DCM,5 to 20,58,7.18E-08,dsyb
111,DCM,5 to 20,38,1.42E-07,dsyb
92,SRF,5 to 20,13,1.57E-07,dsyb
92,SRF,5 to 20,4,1.62E-07,dsyb
92,SRF,5 to 20,67,8.13E-08,dsyb
92,SRF,5 to 20,58,3.69E-07,dsyb
147,SRF,180 to 2000,38,8.82E-08,dsyb
147,SRF,180 to 2000,2493,0,dsyb
150,DCM,20 to 180,12,0,dsyb
150,DCM,20 to 180,2493,0,dsyb
150,DCM,20 to 180,46,0,dsyb
78,SRF,5 to 20,44,1.62E-07,dsyb
110,DCM,180 to 2000,44,2.78E-07,dsyb
84,SRF,0.8 to 5,112,0,dsyb
84,SRF,0.8 to 5,30,1.37E-07,dsyb
84,SRF,0.8 to 5,67,5.15E-08,dsyb
84,SRF,0.8 to 5,4,9.60E-07,dsyb
84,SRF,0.8 to 5,85,0,dsyb
84,SRF,0.8 to 5,13,1.63E-06,dsyb
84,SRF,0.8 to 5,74,1.89E-07,dsyb
135,DCM,180 to 2000,188,2.07E-08,dsyb
135,DCM,180 to 2000,166,2.07E-08,dsyb
135,DCM,180 to 2000,2493,0,dsyb
135,DCM,180 to 2000,179,2.46E-08,dsyb
135,DCM,180 to 2000,38,4.07E-07,dsyb
135,DCM,180 to 2000,58,2.09E-08,dsyb
128,DCM,5 to 20,58,6.72E-08,dsyb
128,DCM,5 to 20,1255,2.49E-07,dsyb
128,DCM,5 to 20,44,2.37E-07,dsyb
128,DCM,5 to 20,166,2.40E-08,dsyb
72,DCM,5 to 20,12,0,dsyb
72,DCM,5 to 20,13,0,dsyb
72,DCM,5 to 20,1580,0,dsyb
23,DCM,0.8 to 5,2743,3.30E-08,dsyb
23,DCM,0.8 to 5,66,2.43E-07,dsyb
23,DCM,0.8 to 5,58,3.30E-08,dsyb
23,DCM,0.8 to 5,36,1.68E-07,dsyb
23,DCM,0.8 to 5,178,0,dsyb
23,DCM,0.8 to 5,225,3.30E-08,dsyb
123,SRF,180 to 2000,44,4.98E-07,dsyb
123,SRF,180 to 2000,332,5.57E-08,dsyb
132,DCM,0.8 to 5,188,3.92E-08,dsyb
132,DCM,0.8 to 5,12,0,dsyb
132,DCM,0.8 to 5,166,2.05E-07,dsyb
132,DCM,0.8 to 5,44,7.70E-07,dsyb
132,DCM,0.8 to 5,332,5.82E-08,dsyb
132,DCM,0.8 to 5,179,1.02E-07,dsyb
132,DCM,0.8 to 5,58,0,dsyb
36,DCM,180 to 2000,166,9.59E-08,dsyb
36,DCM,180 to 2000,179,6.01E-08,dsyb
85,DCM,180 to 2000,74,1.07E-07,dsyb
85,DCM,180 to 2000,85,0,dsyb
85,DCM,180 to 2000,13,3.25E-07,dsyb
85,DCM,180 to 2000,67,0,dsyb
85,DCM,180 to 2000,30,2.07E-07,dsyb
85,DCM,180 to 2000,4,3.64E-07,dsyb
85,DCM,180 to 2000,112,0,dsyb
151,DCM,20 to 180,46,0,dsyb
151,DCM,20 to 180,35,0,dsyb
151,DCM,20 to 180,12,0,dsyb
151,DCM,20 to 180,2493,0,dsyb
98,SRF,5 to 20,44,5.61E-08,dsyb
98,SRF,5 to 20,46,0,dsyb
36,SRF,20 to 180,46,0,dsyb
36,SRF,20 to 180,179,2.33E-07,dsyb
36,SRF,20 to 180,188,1.02E-07,dsyb
36,SRF,20 to 180,166,5.71E-07,dsyb
124,SRF,0.8 to 5,2743,6.45E-08,dsyb
124,SRF,0.8 to 5,58,5.99E-08,dsyb
124,SRF,0.8 to 5,76,3.26E-08,dsyb
124,SRF,0.8 to 5,66,9.53E-08,dsyb
124,SRF,0.8 to 5,36,3.64E-08,dsyb
124,SRF,0.8 to 5,44,2.05E-05,dsyb
124,SRF,0.8 to 5,225,2.79E-08,dsyb
151,SRF,20 to 180,46,0,dsyb
151,SRF,20 to 180,2493,0,dsyb
151,SRF,20 to 180,12,0,dsyb
109,SRF,20 to 180,44,2.39E-07,dsyb
109,SRF,20 to 180,166,2.43E-08,dsyb
109,SRF,20 to 180,46,0,dsyb
39,DCM,0.8 to 5,188,7.02E-08,dsyb
39,DCM,0.8 to 5,36,0,dsyb
39,DCM,0.8 to 5,166,2.21E-06,dsyb
39,DCM,0.8 to 5,4,0,dsyb
39,DCM,0.8 to 5,44,2.43E-07,dsyb
39,DCM,0.8 to 5,178,0,dsyb
39,DCM,0.8 to 5,66,4.57E-07,dsyb
39,DCM,0.8 to 5,179,7.50E-07,dsyb
128,SRF,20 to 180,332,8.30E-08,dsyb
128,SRF,20 to 180,44,8.23E-07,dsyb
124,SRF,180 to 2000,2493,0,dsyb
124,SRF,180 to 2000,44,8.26E-08,dsyb
124,SRF,180 to 2000,58,4.46E-08,dsyb
85,DCM,5 to 20,13,7.33E-07,dsyb
85,DCM,5 to 20,74,3.47E-07,dsyb
85,DCM,5 to 20,112,0,dsyb
85,DCM,5 to 20,30,2.62E-07,dsyb
85,DCM,5 to 20,67,0,dsyb
85,DCM,5 to 20,4,6.50E-07,dsyb
110,SRF,180 to 2000,44,7.09E-07,dsyb
110,SRF,180 to 2000,38,6.73E-08,dsyb
110,SRF,180 to 2000,332,6.05E-08,dsyb
135,DCM,5 to 20,179,6.23E-08,dsyb
135,DCM,5 to 20,38,1.04E-07,dsyb
135,DCM,5 to 20,1255,5.33E-08,dsyb
135,DCM,5 to 20,166,6.19E-08,dsyb
135,DCM,5 to 20,12,0,dsyb
135,DCM,5 to 20,188,4.97E-08,dsyb
135,DCM,5 to 20,44,3.51E-08,dsyb
30,SRF,180 to 2000,2493,0,dsyb
151,SRF,180 to 2000,2493,0,dsyb
25,DCM,5 to 20,12,0,dsyb
72,DCM,0.8 to 5,58,4.11E-08,dsyb
72,DCM,0.8 to 5,188,8.05E-08,dsyb
72,DCM,0.8 to 5,36,0,dsyb
72,DCM,0.8 to 5,166,2.40E-06,dsyb
72,DCM,0.8 to 5,2743,4.11E-08,dsyb
72,DCM,0.8 to 5,332,8.30E-08,dsyb
72,DCM,0.8 to 5,179,1.74E-07,dsyb
72,DCM,0.8 to 5,66,1.40E-07,dsyb
72,DCM,0.8 to 5,44,1.24E-06,dsyb
68,SRF,180 to 2000,44,4.76E-08,dsyb
68,SRF,180 to 2000,58,0,dsyb
80,DCM,20 to 180,46,0,dsyb
80,DCM,20 to 180,12,0,dsyb
80,DCM,20 to 180,59,3.92E-08,dsyb
98,SRF,20 to 180,46,0,dsyb
98,SRF,20 to 180,12,0,dsyb
98,SRF,20 to 180,44,3.17E-08,dsyb
149,SRF,180 to 2000,38,8.86E-08,dsyb
149,SRF,180 to 2000,2493,0,dsyb
52,DCM,20 to 180,46,0,dsyb
52,DCM,20 to 180,58,0,dsyb
52,DCM,20 to 180,4,2.66E-08,dsyb
52,DCM,20 to 180,332,2.82E-08,dsyb
52,DCM,20 to 180,44,1.43E-07,dsyb
52,DCM,20 to 180,2493,0,dsyb
52,DCM,20 to 180,12,0,dsyb
135,DCM,20 to 180,188,3.46E-08,dsyb
135,DCM,20 to 180,166,8.90E-08,dsyb
135,DCM,20 to 180,58,2.91E-08,dsyb
135,DCM,20 to 180,38,1.97E-08,dsyb
135,DCM,20 to 180,44,1.97E-08,dsyb
135,DCM,20 to 180,59,2.06E-08,dsyb
135,DCM,20 to 180,12,0,dsyb
135,DCM,20 to 180,35,0,dsyb
135,DCM,20 to 180,179,3.56E-08,dsyb
66,DCM,5 to 20,332,8.42E-08,dsyb
66,DCM,5 to 20,44,1.98E-07,dsyb
64,SRF,20 to 180,44,3.84E-08,dsyb
64,SRF,20 to 180,46,0,dsyb
41,SRF,0.8 to 5,13,9.91E-08,dsyb
41,SRF,0.8 to 5,166,3.56E-07,dsyb
41,SRF,0.8 to 5,179,1.64E-07,dsyb
41,SRF,0.8 to 5,66,2.78E-07,dsyb
138,DCM,180 to 2000,44,4.65E-07,dsyb
138,DCM,180 to 2000,332,1.44E-07,dsyb
4,SRF,0.8 to 5,44,8.45E-08,dsyb
4,SRF,0.8 to 5,178,0,dsyb
4,SRF,0.8 to 5,2743,2.64E-08,dsyb
4,SRF,0.8 to 5,66,2.07E-07,dsyb
4,SRF,0.8 to 5,36,6.34E-07,dsyb
4,SRF,0.8 to 5,29,3.75E-06,dsyb
4,SRF,0.8 to 5,747,4.94E-08,dsyb
4,SRF,0.8 to 5,58,2.76E-08,dsyb
137,SRF,180 to 2000,332,1.52E-07,dsyb
137,SRF,180 to 2000,166,8.69E-08,dsyb
137,SRF,180 to 2000,44,1.03E-06,dsyb
25,SRF,5 to 20,12,0,dsyb
25,SRF,5 to 20,35,0,dsyb
38,SRF,20 to 180,166,1.93E-07,dsyb
38,SRF,20 to 180,46,0,dsyb
38,SRF,20 to 180,179,6.42E-08,dsyb
125,SRF,20 to 180,44,7.91E-07,dsyb
125,SRF,20 to 180,332,1.24E-07,dsyb
125,SRF,20 to 180,58,0,dsyb
122,SRF,20 to 180,44,2.42E-06,dsyb
122,SRF,20 to 180,332,2.79E-07,dsyb
4,DCM,0.8 to 5,66,3.76E-08,dsyb
4,DCM,0.8 to 5,35,0,dsyb
4,DCM,0.8 to 5,12,0,dsyb
4,DCM,0.8 to 5,59,5.14E-08,dsyb
142,DCM,0.8 to 5,66,7.32E-08,dsyb
142,DCM,0.8 to 5,178,0,dsyb
142,DCM,0.8 to 5,36,0,dsyb
68,SRF,20 to 180,46,0,dsyb
68,SRF,20 to 180,12,0,dsyb
68,SRF,20 to 180,44,3.12E-08,dsyb
100,SRF,0.8 to 5,58,3.57E-08,dsyb
100,SRF,0.8 to 5,67,3.99E-08,dsyb
100,SRF,0.8 to 5,36,2.68E-08,dsyb
100,SRF,0.8 to 5,225,2.23E-08,dsyb
100,SRF,0.8 to 5,2743,1.60E-07,dsyb
100,SRF,0.8 to 5,332,3.21E-08,dsyb
100,SRF,0.8 to 5,66,7.91E-08,dsyb
100,SRF,0.8 to 5,44,2.11E-06,dsyb
41,SRF,5 to 20,46,0,dsyb
93,SRF,5 to 20,38,2.95E-08,dsyb
131,SRF,5 to 20,46,0,dsyb
131,SRF,5 to 20,2493,0,dsyb
131,SRF,5 to 20,36,0,dsyb
131,SRF,5 to 20,12,0,dsyb
80,DCM,180 to 2000,38,2.79E-08,dsyb
110,SRF,0.8 to 5,36,9.32E-08,dsyb
110,SRF,0.8 to 5,166,2.70E-07,dsyb
110,SRF,0.8 to 5,225,4.38E-08,dsyb
110,SRF,0.8 to 5,67,0,dsyb
110,SRF,0.8 to 5,58,7.66E-08,dsyb
110,SRF,0.8 to 5,13,0,dsyb
110,SRF,0.8 to 5,44,5.67E-06,dsyb
110,SRF,0.8 to 5,179,8.56E-08,dsyb
110,SRF,0.8 to 5,332,4.11E-07,dsyb
110,SRF,0.8 to 5,66,2.10E-07,dsyb
93,SRF,180 to 2000,38,2.59E-08,dsyb
139,SRF,5 to 20,58,0,dsyb
139,SRF,5 to 20,1580,0,dsyb
139,SRF,5 to 20,179,3.13E-08,dsyb
139,SRF,5 to 20,44,2.35E-07,dsyb
139,SRF,5 to 20,166,8.09E-08,dsyb
38,SRF,180 to 2000,166,2.35E-07,dsyb
38,SRF,180 to 2000,44,3.37E-08,dsyb
38,SRF,180 to 2000,179,7.38E-08,dsyb
142,DCM,20 to 180,46,0,dsyb
142,DCM,20 to 180,12,0,dsyb
39,SRF,0.8 to 5,225,2.62E-08,dsyb
39,SRF,0.8 to 5,36,6.23E-08,dsyb
39,SRF,0.8 to 5,166,9.37E-07,dsyb
39,SRF,0.8 to 5,58,2.62E-08,dsyb
39,SRF,0.8 to 5,66,2.19E-07,dsyb
39,SRF,0.8 to 5,2743,5.20E-08,dsyb
39,SRF,0.8 to 5,179,4.27E-07,dsyb
4,DCM,5 to 20,12,0,dsyb
4,DCM,5 to 20,36,3.10E-08,dsyb
4,DCM,5 to 20,58,0,dsyb
4,DCM,5 to 20,1255,4.48E-08,dsyb
4,DCM,5 to 20,179,2.41E-08,dsyb
30,DCM,20 to 180,12,0,dsyb
23,DCM,20 to 180,12,0,dsyb
23,DCM,20 to 180,58,2.93E-08,dsyb
23,DCM,20 to 180,35,0,dsyb
23,SRF,180 to 2000,38,4.15E-08,dsyb
80,DCM,5 to 20,12,0,dsyb
80,DCM,5 to 20,44,6.15E-08,dsyb
70,SRF,5 to 20,332,2.85E-08,dsyb
70,SRF,5 to 20,58,3.72E-08,dsyb
70,SRF,5 to 20,1580,0,dsyb
70,SRF,5 to 20,44,1.66E-07,dsyb
70,SRF,5 to 20,2493,0,dsyb
82,SRF,0.8 to 5,66,3.26E-08,dsyb
82,SRF,0.8 to 5,30,3.79E-07,dsyb
82,SRF,0.8 to 5,13,3.86E-05,dsyb
82,SRF,0.8 to 5,24,3.23E-08,dsyb
82,SRF,0.8 to 5,4,4.92E-06,dsyb
82,SRF,0.8 to 5,67,1.42E-06,dsyb
82,SRF,0.8 to 5,58,0,dsyb
82,SRF,0.8 to 5,112,0,dsyb
82,SRF,0.8 to 5,74,1.17E-07,dsyb
82,SRF,0.8 to 5,85,0,dsyb
72,SRF,180 to 2000,44,2.24E-08,dsyb
72,SRF,180 to 2000,12,0,dsyb
72,SRF,180 to 2000,46,0,dsyb
